SKU_ID,Product_Name,Category_ID,Product_Type,Shelf_Life,COGS,Product_Price
SB-ALT00235,Alat Kontrasepsi Ultra Safe 3 pcs,ALT-SD01,Niche,> 180 Days,13200,16500
SB-ALT00236,Bulan Crystal Beer 300ml,ALT-SD01,Traffics,> 180 Days,25000,28800
SB-ALT00237,Bulan Pilsneer Beer 300ml,ALT-SD01,Traffics,> 180 Days,25000,28800
SB-ALT00238,HEINEKEN PINT MULTIPACK [4 X 320 ML],ALT-SD01,Niche,> 180 Days,98000,122500
SB-ALT00239,Bulan Redler Lemon Beer 300ml,ALT-SD01,Traffics,> 180 Days,25000,28800
SB-ALT00240,Bulan Redler Blackcurrant Beer 300ml,ALT-SD01,Traffics,> 180 Days,25000,28800
SB-ALT00241,Wet Food Makanan Kucing Basah - Tuna 80gr,ALT-SD02,Key,> 180 Days,6400,8400
SB-ALT00242,Wet Food Makanan Kucing Basah - Kitten Mackarel  80gr,ALT-SD02,Key,> 180 Days,6290,8200
SB-ALT00243,Wet Dog Food Pouch All Variant Makanan Anjing Basah - PUP Beef 80gr,ALT-SD02,Key,> 180 Days,6900,9000
SB-ALT00244,Wet Dog Food Pouch All Variant Makanan Anjing Basah - PUP Chicken 80gr,ALT-SD02,Traffics,> 180 Days,6900,8000
SB-ALT00245,Premium Wet Food All Variant Makanan Kucing Basah - Tuna,ALT-SD02,Traffics,> 180 Days,9000,10400
SB-ALT00246,Premium Wet Food All Variant Makanan Kucing Basah - KITTEN Chicken,ALT-SD02,Traffics,> 180 Days,9000,10400
SB-ALT00247,Premium Wet Food All Variant Makanan Kucing Basah - Tuna Crabstick,ALT-SD02,Traffics,> 180 Days,9000,10400
SB-ALT00248,Makanan Kucing Kering Junior 1.1kg - Mackerel,ALT-SD02,Traffics,> 180 Days,57651,66300
SB-ALT00249,Makanan Kucing Basah Can 85gr - Flaked Tuna,ALT-SD02,Traffics,> 180 Days,16751,19300
SB-ALT00250,Makanan Kucing Kering rasa Tuna Dry 1.2 kg,ALT-SD02,Traffics,> 180 Days,64800,74600
SB-ALT00251,PET KINGDOM 1 LTR SAMPO HEWAN FLEA & TICK 025,ALT-SD02,Niche,> 180 Days,129000,161300
SB-ALT00252,SHAMPOO ANJING PET KINGDOM EXTRA CARE WITH NEEM TREE OIL,ALT-SD02,Niche,> 180 Days,78900,98700
SB-ALT00253,Snack Kucing Purrr-ee 24gr - Salmon & Cheese ,ALT-SD02,Traffics,> 180 Days,12000,13800
SB-ALT00254,Snack Kucing Purrr-ee 24gr - Chicken & Tuna,ALT-SD02,Traffics,> 180 Days,12000,13800
SB-ALT00255,Makanan Kucing Basah rasa Katsuo & Katsuo Salmon Melty 48gr ,ALT-SD02,Traffics,> 180 Days,23400,27000
SB-ALT00256,Meat Jerky Strap Snack Anjing 80gr - Isi 1 - Smoky Beef,ALT-SD02,Traffics,> 180 Days,21200,24400
SB-ALT00257,Meat Jerky Strap Snack Anjing 80gr - Isi 1 - Grilled Liver,ALT-SD02,Traffics,> 180 Days,21200,24400
SB-ALT00258,Meat Jerky Strap Snack Anjing 80gr - Isi 1 - Roasted Lamb,ALT-SD02,Traffics,> 180 Days,21200,24400
SB-ALT00259,Mobile Credit (Pulsa) 25000,ALT-SD03,Traffics,> 180 Days,25000,28500
SB-ALT00260,Mobile Credit (Pulsa) 12000,ALT-SD03,Traffics,> 180 Days,12000,15500
SB-ALT00261,Mobile Credit (Pulsa) 20000,ALT-SD03,Traffics,> 180 Days,20000,23500
SB-ALT00262,Mobile Credit (Pulsa) 50000,ALT-SD03,Traffics,> 180 Days,50000,53500
SB-ALT00263,Mobile Credit (Pulsa) 75000,ALT-SD03,Traffics,> 180 Days,75000,78500
SB-ALT00264,Valorant Points 5000,ALT-SD03,Niche,> 180 Days,250000,253500
SB-ALT00265,Valorant Points 2500,ALT-SD03,Niche,> 180 Days,145000,148500
SB-ALT00266,Valorant Points 1000,ALT-SD03,Niche,> 180 Days,102100,105600
SB-ALT00267,Leage of Leagends Diamonds 1000,ALT-SD03,Niche,> 180 Days,201450,204950
SB-ALT00268,Leage of Leagends Diamonds 500,ALT-SD03,Niche,> 180 Days,107400,110900
SB-ALT00269,Leage of Leagends Diamonds 250,ALT-SD03,Niche,> 180 Days,50000,53500
SB-ALT00270,Mobile Credit (Pulsa) 100000,ALT-SD03,Traffics,> 180 Days,100000,103500
